dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135,label
2.155169053,2.128281576,1.573777609,1.981850209,0.967855919,0.968296313,0.978797219,0.971387243,0.89393403,0.894107296,0.899198328,0.894973005,231.0495335,228.7007633,152.0604659,206.4037317,0.763424689,0.762475831,0.766349363,0.763393389,0.873741775,0.873198621,0.875413824,0.873723863,Red Spinach Leaf
2.745543023,2.729990866,2.339797238,2.704390658,0.971794984,0.971995268,0.976990484,0.971444747,0.85853791,0.858274361,0.862643649,0.860257226,276.2394943,275.2045211,224.8755334,280.6145355,0.699412455,0.698212152,0.701420183,0.698321664,0.836308828,0.8355909,0.837508318,0.835656427,Red Spinach Leaf
2.219886172,2.064052714,1.734088914,2.158455115,0.970180088,0.972196137,0.978478516,0.972098769,0.876588201,0.878963475,0.882042124,0.876313218,191.1980756,178.8937239,137.687497,179.5201983,0.733340149,0.732639654,0.736039334,0.732738137,0.856352818,0.855943721,0.857927348,0.856001248,Red Spinach Leaf
1.874892799,1.774562891,1.251113768,1.723492954,0.958154963,0.961687557,0.976333793,0.962554343,0.92699398,0.927509624,0.931783273,0.928486697,234.7645859,215.7621281,132.4580267,210.8806955,0.837070311,0.836776832,0.840154249,0.837105189,0.914915467,0.914755067,0.916599285,0.914934527,Red Spinach Leaf
2.632338418,2.512819676,2.098180063,2.619050104,0.971989989,0.973221515,0.979231626,0.972380333,0.855073981,0.857443439,0.861185009,0.855244276,311.9417864,299.2123434,230.8117238,308.6113779,0.679195177,0.67831188,0.681693517,0.678014665,0.824132985,0.823596916,0.825647332,0.823416459,Red Spinach Leaf
2.561682996,2.407978862,2.014042386,2.54664666,0.972449574,0.973927029,0.980143472,0.97314766,0.850421183,0.853582231,0.857291374,0.850598968,238.309513,226.2771855,171.3992684,233.0410295,0.680599776,0.679743061,0.683187369,0.679536447,0.824984713,0.824465319,0.826551492,0.824340007,Red Spinach Leaf
2.270576158,2.120713727,1.759698286,2.206145616,0.966726751,0.970021286,0.976933314,0.967706326,0.891716106,0.892566735,0.895607381,0.892023063,259.7988318,234.9117367,179.7004313,253.0516571,0.760662602,0.76035835,0.763401248,0.760033779,0.872159734,0.871985292,0.87372836,0.871799162,Red Spinach Leaf
1.745055745,1.790474948,1.449242962,1.744702505,0.966688198,0.964988946,0.973487383,0.965899406,0.917486916,0.917245603,0.920265255,0.917876099,172.7333935,182.2237082,137.1537308,177.4849948,0.819925103,0.818719573,0.821411547,0.819061975,0.905497158,0.90483124,0.906317575,0.905020428,Red Spinach Leaf
1.34132254,1.328405532,1.045383412,1.328562109,0.960978422,0.961053825,0.970575554,0.961105688,0.941743836,0.941747017,0.944576139,0.941994779,157.2075808,157.5089379,118.2557438,157.299191,0.864622926,0.864130346,0.866344495,0.864130316,0.929851023,0.929586116,0.930776286,0.929586099,Red Spinach Leaf
1.996699498,1.857228601,1.462093009,1.942790971,0.964754731,0.968032202,0.975686315,0.965579184,0.90422986,0.904888563,0.90922288,0.904781696,219.6422204,199.943339,151.1712465,215.2857972,0.783484185,0.783276464,0.786560164,0.783015939,0.88514642,0.885029075,0.886882272,0.884881878,Red Spinach Leaf
